vegetable,activity,week,date
chinese_cabbage,harvest,42,10/18/2021
kale,harvest,42,10/18/2021
spinach,harvest,42,10/18/2021
lettuce,harvest,42,10/18/2021
mache,harvest,42,10/18/2021
mesclun_mix,harvest,42,10/18/2021
arugula,harvest,42,10/18/2021
turnip,harvest,42,10/18/2021
parsnip,harvest,42,10/18/2021
leek,harvest,42,10/18/2021
radish,harvest,42,10/18/2021
radish,harvest,42,10/18/2021
turnip,harvest,42,10/18/2021
swiss_chard,harvest,43,10/25/2021
beet,harvest,43,10/25/2021
carrot,harvest,43,10/25/2021
celeriac,harvest,43,10/25/2021
chinese_cabbage,harvest,43,10/25/2021
kale,harvest,43,10/25/2021
spinach,harvest,43,10/25/2021
lettuce,harvest,43,10/25/2021
mache,harvest,43,10/25/2021
mesclun_mix,harvest,43,10/25/2021
arugula,harvest,43,10/25/2021
turnip,harvest,43,10/25/2021
parsnip,harvest,43,10/25/2021
radish,harvest,43,10/25/2021
radish,harvest,43,10/25/2021
turnip,harvest,43,10/25/2021
